	area	surge_1_offset	surge_2_offset	surge_3_offset	surge_4_offset
0	Alameda	165.0	342.0	559.0	707.0
1	Alpine	46.0	278.0	584.0	703.0
2	Amador	187.0	307.0	552.0	711.0
3	Butte	209.0	338.0	590.0	711.0
4	Calaveras	211.0	342.0	568.0	712.0
5	California	161.0	342.0	559.0	707.0
6	Colusa	163.0	343.0	555.0	713.0
7	Contra Costa	164.0	343.0	560.0	708.0
8	Del Norte	111.0	310.0	564.0	710.0
9	El Dorado	164.0	313.0	559.0	710.0
10	Fresno	161.0	317.0	575.0	712.0
11	Glenn	163.0	336.0	566.0	711.0
12	Humboldt	212.0	351.0	556.0	710.0
13	Imperial	122.0	312.0	671.0	711.0
14	Inyo	199.0	342.0	625.0	709.0
15	Kern	163.0	342.0	574.0	711.0
16	Kings	122.0	310.0	579.0	712.0
17	Lake	230.0	348.0	550.0	709.0
18	Lassen	164.0	296.0	593.0	714.0
19	Los Angeles	163.0	342.0	557.0	707.0
20	Madera	171.0	339.0	581.0	711.0
21	Marin	149.0	344.0	548.0	707.0
22	Mariposa	170.0	337.0	623.0	710.0
23	Mendocino	188.0	342.0	570.0	711.0
24	Merced	171.0	343.0	568.0	711.0
25	Modoc	214.0	316.0	662.0	704.0
26	Mono	171.0	275.0	668.0	709.0
27	Monterey	182.0	343.0	564.0	711.0
28	Napa	168.0	342.0	562.0	707.0
29	Nevada	165.0	307.0	555.0	711.0
30	Orange	150.0	342.0	557.0	707.0
31	Placer	167.0	317.0	557.0	709.0
32	Plumas	168.0	310.0	616.0	711.0
33	Riverside	162.0	342.0	563.0	709.0
34	Sacramento	171.0	313.0	559.0	709.0
35	San Benito	201.0	342.0	673.0	708.0
36	San Bernardino	164.0	320.0	559.0	707.0
37	San Diego	160.0	342.0	562.0	707.0
38	San Francisco	169.0	342.0	548.0	707.0
39	San Joaquin	170.0	343.0	568.0	710.0
40	San Luis Obispo	162.0	342.0	573.0	707.0
41	San Mateo	164.0	342.0	553.0	707.0
42	Santa Barbara	99.0	342.0	559.0	709.0
43	Santa Clara	167.0	342.0	561.0	707.0
44	Santa Cruz	167.0	342.0	559.0	710.0
45	Shasta	247.0	292.0	590.0	713.0
46	Sierra	184.0	333.0	617.0	709.0
47	Siskiyou	160.0	296.0	590.0	712.0
48	Solano	163.0	342.0	560.0	709.0
49	Sonoma	197.0	342.0	555.0	709.0
50	Stanislaus	161.0	343.0	568.0	711.0
51	Sutter	180.0	306.0	570.0	711.0
52	Tehama	244.0	339.0	578.0	711.0
53	Trinity	198.0	292.0	601.0	709.0
54	Tulare	166.0	342.0	590.0	713.0
55	Tuolumne	169.0	314.0	549.0	709.0
56	Unknown	45.0	320.0	643.0	712.0
57	Ventura	148.0	342.0	557.0	707.0
58	Yolo	160.0	342.0	569.0	707.0
59	Yuba	180.0	320.0	574.0	710.0
