Location	Low End Snowfall	Expected Snowfall	High End Snowfall	P>=0.1"	P>=1"	P>=2"	P>=4"	P>=6"	P>=8"	P>=12"	P>=18"
Bethel Park	8	12	15	100%	100%	100%	98%	94%	83%	40%	1%
Franklin Park	8	13	16	100%	100%	100%	99%	96%	88%	51%	3%
Jefferson Hills	7	11	14	100%	100%	100%	98%	93%	80%	31%	1%
Monroeville	7	10	14	100%	100%	100%	99%	94%	81%	32%	1%
Moon/Pittsburgh Intl Airport	9	13	16	100%	100%	100%	99%	97%	91%	56%	4%
Mount Lebanon	8	12	15	100%	100%	100%	98%	94%	84%	42%	1%
Penn Hills	7	11	15	100%	100%	100%	99%	95%	83%	37%	2%
Pittsburgh	8	12	15	100%	100%	100%	99%	95%	85%	42%	1%
Apollo	7	9	14	100%	100%	100%	99%	94%	78%	28%	1%
Ford City	7	9	14	100%	100%	100%	99%	95%	80%	28%	1%
Freeport	7	10	14	100%	100%	100%	99%	94%	81%	31%	1%
Kittaning	7	10	13	100%	100%	100%	99%	96%	81%	27%	1%
Leechburg	7	10	14	100%	100%	100%	99%	94%	79%	29%	1%
Aliquippa	9	12	16	100%	100%	100%	99%	97%	90%	52%	3%
Ambridge	9	12	16	100%	100%	100%	99%	97%	90%	53%	3%
Beaver Falls	9	13	16	100%	100%	100%	100%	98%	92%	55%	3%
Economy	9	12	16	100%	100%	100%	99%	97%	90%	52%	3%
New Brighton	9	13	16	100%	100%	100%	100%	98%	91%	54%	3%
Butler	9	12	16	100%	100%	100%	100%	97%	91%	52%	4%
Cranberry	9	12	16	100%	100%	100%	99%	97%	90%	52%	3%
Saxonburg	8	12	15	100%	100%	100%	99%	97%	89%	45%	1%
Slippery Rock	9	13	17	100%	100%	100%	100%	98%	93%	62%	10%
Zelienople	9	12	16	100%	100%	100%	99%	97%	91%	54%	4%
Clarion	9	11	15	100%	100%	100%	100%	98%	91%	45%	2%
Fryburg	9	13	16	100%	100%	100%	100%	99%	95%	61%	5%
Knox	9	13	17	100%	100%	100%	100%	99%	95%	62%	6%
Limestone	8	11	15	100%	100%	100%	100%	98%	88%	39%	1%
New Bethlehem	8	10	14	100%	100%	100%	100%	98%	86%	32%	1%
Rimersburg	9	11	15	100%	100%	100%	100%	98%	92%	48%	2%
St. Petersburg	9	12	16	100%	100%	100%	100%	98%	93%	59%	6%
Brownsville	7	9	13	100%	100%	100%	99%	93%	74%	23%	0%
Connellsville	8	10	13	100%	100%	100%	100%	97%	83%	23%	0%
Fairchance	7	10	13	100%	100%	100%	99%	94%	77%	19%	0%
Farmington	8	11	14	100%	100%	100%	100%	98%	91%	39%	1%
Masontown	6	8	12	100%	100%	100%	99%	90%	67%	17%	0%
Uniontown	7	10	13	100%	100%	100%	99%	95%	79%	23%	0%
Cook Forest State Park	8	11	15	100%	100%	100%	100%	98%	91%	47%	3%
Kellettville	9	12	16	100%	100%	100%	100%	99%	95%	56%	4%
Lynch	9	12	16	100%	100%	100%	100%	99%	95%	56%	6%
Marienville	9	11	16	100%	100%	100%	100%	98%	91%	49%	4%
Tionesta	10	13	17	100%	100%	100%	100%	99%	96%	65%	9%
Aleppo	7	11	15	100%	100%	99%	97%	92%	79%	37%	1%
Bobtown	6	9	13	100%	100%	100%	98%	89%	68%	20%	0%
Carmichaels	6	9	13	100%	100%	100%	98%	89%	70%	22%	1%
Clarksville	6	10	13	100%	100%	100%	97%	90%	72%	25%	1%
Waynesburg	7	10	13	100%	100%	99%	97%	90%	73%	23%	0%
Armagh	6	8	12	100%	100%	100%	100%	93%	65%	12%	0%
Black Lick	6	7	11	100%	100%	100%	100%	90%	60%	12%	0%
Blairsville	6	8	11	100%	100%	100%	99%	91%	62%	11%	0%
Clymer	6	7	12	100%	100%	100%	100%	90%	59%	13%	0%
Glen Campbell	6	8	12	100%	100%	100%	100%	92%	64%	13%	0%
Homer City	6	7	12	100%	100%	100%	100%	92%	62%	14%	0%
Indiana	6	8	12	100%	100%	100%	99%	92%	65%	16%	0%
Marion Center	6	8	12	100%	100%	100%	100%	94%	68%	18%	0%
Saltsburg	6	8	13	100%	100%	100%	99%	92%	69%	20%	1%
West Lebanon	6	8	13	100%	100%	100%	100%	93%	69%	19%	0%
Brockway	7	9	14	100%	100%	100%	100%	97%	81%	29%	1%
Brookville	7	9	14	100%	100%	100%	100%	97%	83%	29%	1%
Punxsutawney	7	8	12	100%	100%	100%	100%	94%	70%	17%	0%
Reynoldsville	7	9	13	100%	100%	100%	100%	95%	74%	22%	1%
Sykesville	6	8	12	100%	100%	100%	99%	92%	67%	17%	0%
Ellwood City	9	13	16	100%	100%	100%	99%	97%	91%	56%	4%
New Beaver	9	13	16	100%	100%	100%	100%	98%	94%	61%	5%
New Castle	9	13	17	100%	100%	100%	100%	98%	93%	61%	5%
New Wilmington	10	14	18	100%	100%	100%	100%	98%	94%	67%	11%
Pulaski	9	13	18	100%	100%	100%	99%	98%	92%	63%	11%
Greenville	9	13	19	100%	100%	100%	99%	97%	91%	64%	20%
Grove City	10	13	18	100%	100%	100%	100%	98%	94%	66%	11%
Hermitage	9	13	18	100%	100%	100%	99%	97%	91%	62%	14%
Mercer	9	13	18	100%	100%	100%	99%	98%	93%	67%	15%
Sandy Lake	10	13	18	100%	100%	100%	100%	98%	94%	68%	13%
Sharon	8	13	18	100%	100%	100%	99%	96%	90%	61%	14%
Emlenton	9	13	17	100%	100%	100%	100%	99%	94%	60%	6%
Oil City	9	13	17	100%	100%	100%	100%	99%	94%	65%	10%
Polk	10	13	18	100%	100%	100%	100%	98%	94%	68%	13%
Rouseville	10	13	18	100%	100%	100%	100%	99%	96%	68%	12%
Sugarcreek	10	13	18	100%	100%	100%	100%	99%	95%	68%	12%
Amity	7	11	14	100%	100%	99%	98%	92%	79%	33%	1%
Burgettstown	9	13	16	100%	100%	100%	99%	97%	90%	56%	4%
California	7	9	13	100%	100%	100%	99%	93%	75%	25%	1%
Canonsburg	8	11	15	100%	100%	100%	99%	95%	85%	40%	2%
Claysville	8	12	15	100%	100%	100%	98%	94%	84%	44%	1%
Donora	7	10	13	100%	100%	100%	99%	95%	79%	27%	1%
Washington	8	12	15	100%	100%	100%	99%	94%	84%	41%	2%
Donegal	8	11	13	100%	100%	100%	100%	97%	86%	29%	0%
Greensburg	7	9	13	100%	100%	100%	100%	95%	75%	23%	1%
