Location	Low End Snowfall	Expected Snowfall	High End Snowfall	P>=0.1"	P>=1"	P>=2"	P>=4"	P>=6"	P>=8"	P>=12"	P>=18"
Moon/Pittsburgh Intl Airport, PA	9	13	16	100%	100%	100%	99%	97%	91%	56%	4%
Pittsburgh, PA	8	12	15	100%	100%	100%	99%	95%	85%	42%	1%
Butler, PA	9	12	16	100%	100%	100%	100%	97%	91%	52%	4%
Clarion, PA	9	11	15	100%	100%	100%	100%	98%	91%	45%	2%
Columbiana, OH	8	13	16	100%	100%	100%	99%	96%	88%	54%	5%
Coshocton, OH	3	6	10	99%	98%	95%	80%	54%	28%	3%	0%
Uniontown, PA	7	10	13	100%	100%	100%	99%	95%	79%	23%	0%
Indiana, PA	6	8	12	100%	100%	100%	99%	92%	65%	16%	0%
Brookville, PA	7	9	14	100%	100%	100%	100%	97%	83%	29%	1%
New Castle, PA	9	13	17	100%	100%	100%	100%	98%	93%	61%	5%
Morgantown, WV	6	9	12	100%	100%	100%	98%	88%	64%	14%	0%
Zanesville, OH	3	6	9	99%	97%	94%	78%	50%	22%	1%	0%
Wheeling, WV	7	11	14	100%	100%	100%	98%	93%	80%	32%	1%
Terra Alta, WV	8	11	14	100%	100%	100%	100%	99%	91%	35%	0%
Canaan Valley State Park, WV	8	10	13	100%	100%	100%	100%	100%	92%	29%	0%
Parsons, WV	7	8	11	100%	100%	100%	100%	98%	72%	8%	0%
New Philadelphia, OH	4	8	12	99%	99%	97%	90%	74%	51%	11%	0%
Washington, PA	8	12	15	100%	100%	100%	99%	94%	84%	41%	2%
Donegal, PA	8	11	13	100%	100%	100%	100%	97%	86%	29%	0%
Latrobe, PA	6	8	12	100%	100%	100%	100%	92%	65%	15%	0%
